Species,Abbreviation,Locality,Month,Elevation,Sex,Age,SVL,Mass,CTmin,CTmax,bio1,bio4,bio5
antonii,anto,Tatama,September,1406,NA,Juv,34,0.61,NA,NA,18.38,23.26,22.87
antonii,anto,Tatama,September,1406,h,Adult,44,1.86,12.5,NA,18.38,23.26,22.87
antonii,anto,Tatama,January,1415,m,Adult,41,1.3,NA,25.42,18.38,23.26,22.87
antonii,anto,Tatama,January,1415,h,Adult,46,2.05,NA,28.1,18.38,23.26,22.87
antonii,anto,Tatama,January,1415,h,Adult,45,2.01,NA,26.64,18.38,23.26,22.87
antonii,anto,Tatama,January,1415,NA,Juv,31,0.59,NA,NA,18.38,23.26,22.87
antonii,anto,Tatama,September,1413,h,Adult,44,0.93,10.86,NA,18.38,23.26,22.87
antonii,anto,Tatama,January,1418,h,Adult,42,1.09,NA,27.69,18.38,23.26,22.87
antonii,anto,Tatama,September,1410,m,Adult,46,1.66,12.13,NA,18.38,23.26,22.87
antonii,anto,Tatama,January,1411,m,Adult,43,1.46,NA,27.64,18.38,23.26,22.87
antonii,anto,Tatama,January,1408,NA,Juv,27,0.38,NA,NA,18.38,23.26,22.87
antonii,anto,Tatama,January,1408,h,Adult,46,1.87,NA,26.13,18.38,23.26,22.87
antonii,anto,Tatama,January,1373,h,Adult,47,2.08,NA,29.12,18.38,23.26,22.87
antonii,anto,Tatama,January,1378,m,Adult,43,1.68,NA,27.77,18.38,23.26,22.87
antonii,anto,Tatama,September,1410,NA,Juv,30,0.53,12.39,NA,18.38,23.26,22.87
antonii,anto,Tatama,January,1385,NA,Juv,40,1.14,NA,27.02,18.38,23.26,22.87
antonii,anto,Tatama,January,1404,h,Adult,46,2.16,NA,27.58,18.38,23.26,22.87
antonii,anto,Tatama,September,1395,NA,NA,NA,NA,13.09,NA,18.38,23.26,22.87
antonii,anto,Tatama,January,1382,NA,Juv,33,0.7,NA,NA,18.38,23.26,22.87
antonii,anto,Tatama,September,1331,h,Adult,44,1.59,NA,28.46,18.38,23.26,22.87
antonii,anto,Tatama,January,1420,h,Adult,44,1.75,NA,24.65,18.38,23.26,22.87
antonii,anto,Tatama,January,1354,h,Adult,45,2.18,NA,28.1,18.38,23.26,22.87
antonii,anto,Tatama,September,1413,h,Adult,42,1.69,NA,28.75,18.38,23.26,22.87
antonii,anto,Tatama,September,1329,h,Adult,44,1.56,NA,28.4,18.38,23.26,22.87
antonii,anto,Tatama,September,1465,NA,Juv,38,1.16,NA,29.42,18.38,23.26,22.87
antonii,anto,Tatama,January,1532,NA,Juv,40,1.28,NA,28.8,18.38,23.26,22.87
antonii,anto,Tatama,January,1532,h,Adult,42,1.49,NA,NA,18.38,23.26,22.87
antonii,anto,Tatama,January,1532,m,Adult,42,1.51,NA,27.64,18.38,23.26,22.87
antonii,anto,Tatama,January,1546,NA,Juv,31,0.64,NA,NA,18.38,23.26,22.87
antonii,anto,Tatama,January,1546,h,Adult,43,1.82,NA,28.59,18.38,23.26,22.87
antonii,anto,Tatama,January,1528,h,Adult,44,1.96,NA,28.34,18.38,23.26,22.87
antonii,anto,Tatama,January,1590,h,Adult,45,1.97,NA,26.6,18.38,23.26,22.87
antonii,anto,Tatama,January,1590,m,Adult,48,1.89,NA,26.72,18.38,23.26,22.87
antonii,anto,Tatama,January,1775,h,Adult,41,1.64,15.92,NA,18.38,23.26,22.87
antonii,anto,Tatama,November,1785,m,Adult,41,1.22,11,NA,18.38,23.26,22.87
antonii,anto,Tatama,November,1792,NA,Juv,39,1.09,10.48,NA,18.38,23.26,22.87
antonii,anto,Farallones,June,1870,NA,Adult,45,2.12,NA,27.9,20.21,22.54,26.02
antonii,anto,Farallones,June,1870,h,Adult,51,3.43,16.77,NA,20.21,22.54,26.02
antonii,anto,Farallones,June,1907,NA,Adult,45,2.06,17.67,NA,20.21,22.54,26.02
antonii,anto,Farallones,April,2266,m,Adult,47,2.23,NA,19.27,20.21,22.54,26.02
antonii,anto,Farallones,April,2268,m,Adult,47,2.18,NA,22.39,20.21,22.54,26.02
antonii,anto,Farallones,April,2267,m,Adult,42,1.58,15.36,NA,20.21,22.54,26.02
antonii,anto,Farallones,April,1979,m,Adult,47,2.83,15.22,26.47,20.21,22.54,26.02
antonii,anto,Farallones,June,2023,NA,Adult,45,1.94,14.38,NA,20.21,22.54,26.02
antonii,anto,Farallones,June,2023,NA,Adult,48,2.86,12.6,NA,20.21,22.54,26.02
antonii,anto,Farallones,June,2035,NA,Juv,32,1.07,15.41,NA,20.21,22.54,26.02
antonii,anto,Farallones,April,2132,m,Adult,43,2.64,12.79,NA,20.21,22.54,26.02
antonii,anto,Farallones,June,2139,h,Adult,50,3.17,NA,26.46,15.02,18.86,19.75
antonii,anto,Farallones,April,2148,h,Adult,46,2.5,14.92,26.15,15.02,18.86,19.75
antonii,anto,Farallones,June,2167,h,Adult,52,2.93,NA,27.06,15.02,18.86,19.75
antonii,anto,Farallones,June,2140,h,Adult,49,2.69,14.17,NA,15.02,18.86,19.75
antonii,anto,Farallones,June,2139,m,Adult,52,2.89,NA,27.7,15.02,18.86,19.75
antonii,anto,Farallones,June,2140,m,Adult,46,2.2,NA,27.28,15.02,18.86,19.75
antonii,anto,Farallones,June,2116,h,Adult,53,3.52,15.1,NA,15.02,18.86,19.75
antonii,anto,Farallones,June,2132,NA,Juv,40,1.83,NA,26.42,15.02,18.86,19.75
antonii,anto,Farallones,June,2132,h,Adult,42,1.56,NA,30.49,15.02,18.86,19.75
antonii,anto,Farallones,June,2314,m,Adult,43,1.89,NA,27.51,15.02,18.86,19.75
antonii,anto,Farallones,June,2132,NA,Juv,40,2.13,NA,30.06,15.02,18.86,19.75
antonii,anto,Farallones,June,2147,NA,Juv,34,1.09,NA,26.5,15.02,18.86,19.75
antonii,anto,Farallones,June,2132,m,Adult,44,2.28,NA,30.16,15.02,18.86,19.75
